Title,Poet,Poem,Image
On Seeing the Elgin Marbles,John Keats,"My spirit is too weak—mortality
   Weighs heavily on me like unwilling sleep,
   And each imagined pinnacle and steep
Of godlike hardship tells me I must die
Like a sick eagle looking at the sky.
   Yet ’tis a gentle luxury to weep
   That I have not the cloudy winds to keep
Fresh for the opening of the morning’s eye.
Such dim-conceived glories of the brain
   Bring round the heart an undescribable feud;
So do these wonders a most dizzy pain,
   That mingles Grecian grandeur with the rude
Wasting of old time—with a billowy main—
   A sun—a shadow of a magnitude.",img_12.png
Fancy,John Keats,"Ever let the Fancy roam,
Pleasure never is at home:
At a touch sweet Pleasure melteth,
Like to bubbles when rain pelteth;
Then let winged Fancy wander
Through the thought still spread beyond her:
Open wide the mind's cage-door,
She'll dart forth, and cloudward soar.
O sweet Fancy! let her loose;
Summer's joys are spoilt by use,
And the enjoying of the Spring
Fades as does its blossoming;
Autumn's red-lipp'd fruitage too,
Blushing through the mist and dew,
Cloys with tasting: What do then?
Sit thee by the ingle, when
The sear faggot blazes bright,
Spirit of a winter's night;
When the soundless earth is muffled,
And the caked snow is shuffled
From the ploughboy's heavy shoon;
When the Night doth meet the Noon
In a dark conspiracy
To banish Even from her sky.
Sit thee there, and send abroad,
With a mind self-overaw'd,
Fancy, high-commission'd:—send her!
She has vassals to attend her:
She will bring, in spite of frost,
Beauties that the earth hath lost;
She will bring thee, all together,
All delights of summer weather;
All the buds and bells of May,
From dewy sward or thorny spray;
All the heaped Autumn's wealth,
With a still, mysterious stealth:
She will mix these pleasures up
Like three fit wines in a cup,
And thou shalt quaff it:—thou shalt hear
Distant harvest-carols clear;
Rustle of the reaped corn;
Sweet birds antheming the morn:
And, in the same moment, hark!
'Tis the early April lark,
Or the rooks, with busy caw,
Foraging for sticks and straw.
Thou shalt, at one glance, behold
The daisy and the marigold;
White-plum'd lillies, and the first
Hedge-grown primrose that hath burst;
Shaded hyacinth, alway
Sapphire queen of the mid-May;
And every leaf, and every flower
Pearled with the self-same shower.
Thou shalt see the field-mouse peep
Meagre from its celled sleep;
And the snake all winter-thin
Cast on sunny bank its skin;
Freckled nest-eggs thou shalt see
Hatching in the hawthorn-tree,
When the hen-bird's wing doth rest
Quiet on her mossy nest;
Then the hurry and alarm
When the bee-hive casts its swarm;
Acorns ripe down-pattering,
While the autumn breezes sing.

Oh, sweet Fancy! let her loose;
Every thing is spoilt by use:
Where's the cheek that doth not fade,
Too much gaz'd at? Where's the maid
Whose lip mature is ever new?
Where's the eye, however blue,
Doth not weary? Where's the face
One would meet in every place?
Where's the voice, however soft,
One would hear so very oft?
At a touch sweet Pleasure melteth
Like to bubbles when rain pelteth.
Let, then, winged Fancy find
Thee a mistress to thy mind:
Dulcet-ey'd as Ceres' daughter,
Ere the God of Torment taught her
How to frown and how to chide;
With a waist and with a side
White as Hebe's, when her zone
Slipt its golden clasp, and down
Fell her kirtle to her feet,
While she held the goblet sweet
And Jove grew languid.—Break the mesh
Of the Fancy's silken leash;
Quickly break her prison-string
And such joys as these she'll bring.—
Let the winged Fancy roam,
Pleasure never is at home.",img_13.png
Lamia,John Keats,"Upon a time, before the faery broods
Drove Nymph and Satyr from the prosperous woods,
Before King Oberon's bright diadem,
Sceptre, and mantle, clasp'd with dewy gem,
Frighted away the Dryads and the Fauns
From rushes green, and brakes, and cowslip'd lawns,
The ever-smitten Hermes empty left
His golden throne, bent warm on amorous theft:
From high Olympus had he stolen light,
On this side of Jove's clouds, to escape the sight
Of his great summoner, and made retreat
Into a forest on the shores of Crete.
For somewhere in that sacred island dwelt
A nymph, to whom all hoofed Satyrs knelt;
At whose white feet the languid Tritons poured
Pearls, while on land they wither'd and adored.
Fast by the springs where she to bathe was wont,
And in those meads where sometime she might haunt,
Were strewn rich gifts, unknown to any Muse,
Though Fancy's casket were unlock'd to choose.
Ah, what a world of love was at her feet!
So Hermes thought, and a celestial heat
Burnt from his winged heels to either ear,
That from a whiteness, as the lily clear,
Blush'd into roses 'mid his golden hair,
Fallen in jealous curls about his shoulders bare.
From vale to vale, from wood to wood, he flew,
Breathing upon the flowers his passion new,
And wound with many a river to its head,
To find where this sweet nymph prepar'd her secret bed:
In vain; the sweet nymph might nowhere be found,
And so he rested, on the lonely ground,
Pensive, and full of painful jealousies
Of the Wood-Gods, and even the very trees.
There as he stood, he heard a mournful voice,
Such as once heard, in gentle heart, destroys
All pain but pity: thus the lone voice spake:
""When from this wreathed tomb shall I awake!
When move in a sweet body fit for life,
And love, and pleasure, and the ruddy strife
Of hearts and lips! Ah, miserable me!""
The God, dove-footed, glided silently
Round bush and tree, soft-brushing, in his speed,
The taller grasses and full-flowering weed,
Until he found a palpitating snake,
Bright, and cirque-couchant in a dusky brake.",img_14.png
Hyperion,John Keats,"Deep in the shady sadness of a vale
Far sunken from the healthy breath of morn,
Far from the fiery noon, and eve's one star,
Sat gray-hair'd Saturn, quiet as a stone,
Still as the silence round about his lair;
Forest on forest hung about his head
Like cloud on cloud. No stir of air was there,
Not so much life as on a summer's day
Robs not one light seed from the feather'd grass,
But where the dead leaf fell, there did it rest.
A stream went voiceless by, still deadened more
By reason of his fallen divinity
Spreading a shade: the Naiad 'mid her reeds
Press'd her cold finger closer to her lips.",img_15.png
Endymion,John Keats,"A thing of beauty is a joy for ever:
Its loveliness increases; it will never
Pass into nothingness; but still will keep
A bower quiet for us, and a sleep
Full of sweet dreams, and health, and quiet breathing.
Therefore, on every morrow, are we wreathing
A flowery band to bind us to the earth,
Spite of despondence, of the inhuman dearth
Of noble natures, of the gloomy days,
Of all the unhealthy and o'er-darkened ways
Made for our searching: yes, in spite of all,
Some shape of beauty moves away the pall
From our dark spirits. Such the sun, the moon,
Trees old and young, sprouting a shady boon
For simple sheep; and such are daffodils
With the green world they live in; and clear rills
That for themselves a cooling covert make
'Gainst the hot season; the mid forest brake,
Rich with a sprinkling of fair musk-rose blooms:
And such too is the grandeur of the dooms
We have imagined for the mighty dead;
All lovely tales that we have heard or read:
An endless fountain of immortal drink,
Pouring unto us from the heaven's brink.",img_16.png
Wild Nights - Wild Nights!,Emily Dickenson,"Wild Nights - Wild Nights!
Were I with thee
Wild Nights should be
Our luxury!

Futile - the Winds -
To a Heart in port -
Done with the Compass -
Done with the Chart!

Rowing in Eden -
Ah - the Sea!
Might I but moor - Tonight -
In thee!",img_17.png
I cannot live with You,Emily Dickenson,"I cannot live with You -
It would be Life -
And Life is over there -
Behind the Shelf

The Sexton keeps the Key to -
Putting up
Our Life's Packet -
Side by Side -

To lie there - Centuries -
And not be One -
And yet alive -
While I of Him - have been the Bride -

To own a House upon the Hight -
And shut the Door -
Unto Ourself - and pass the Key
That none may more -

To lean Our Biases - together -
Never stumble -
Through Bloom - or Mire - or Noon - or Night -
Never bend - with the Wind -

To take Our favorite Books -
And step the Pair -
Across the Mat -
And shut the Door -

To look Our Rest -
Contented - at the World -
That put Our Load - so far away -
Whose Visage - We can scarce descry -

To know as if to know -
Our felicity -
Afraid to jeopardize -
By touch or sigh -

The Smile upon the Face -
To feel it wander -
If never met - or (better) swept
As Prize - away -

To hold a single Hand -
Is Joy too great -
I cannot brave the Band -
To tie - the Knot -

You - step out upon a Straw -
You - step out upon a Star -
I go out in Circumference -
Beyond the Sea -",img_18.png
A narrow Fellow in the Grass,Emily Dickenson,"A narrow Fellow in the Grass
Occasionally rides -
You may have met him? Did you not
His notice instant is -

The Grass divides as with a Comb,
A spotted Shaft is seen,
And then it closes at your Feet
And opens further on -

He likes a Boggy Acre -  
A Floor too cool for Corn -
But when a Boy and Barefoot
I more than once at Noon

Have passed I thought a Whip Lash
Unbraiding in the Sun
When stooping to secure it
It wrinkled And was gone -

Several of Nature’s People
I know, and they know me
I feel for them a transport
Of Cordiality

But never met this Fellow
Attended or alone
Without a tighter Breathing
And Zero at the Bone.",img_19.png
"I felt a Funeral, in my Brain",Emily Dickenson,"I felt a Funeral, in my Brain,
And Mourners to and fro
Kept treading - treading - till it seemed
That Sense was breaking through -

And when they all were seated,
A Service, like a Drum -
Kept beating - beating - till I thought
My mind was going numb -

And then I heard them lift a Box
And creak across my Soul
With those same Boots of Lead, again,
Then Space - began to toll,

As all the Heavens were a Bell,
And Being, but an Ear,
And I, and Silence, some strange Race,
Wrecked, solitary, here -

And then a Plank in Reason, broke,
And I dropped down, and down -
And hit a World, at every plunge,
And Finished knowing - then -
",img_20.png
My Life had stood - a Loaded Gun,Emily Dickenson,"My Life had stood - a Loaded Gun -
In Corners - till a Day
The Owner passed - identified -
And carried Me away -

And now We roam in Sovreign Woods -
And now We hunt the Doe -
And every time I speak for Him
The Mountains straight reply -

And do I smile, such cordial light
Opon the Valley glow -
It is as a Vesuvian face
Had let it’s pleasure through -

And when at Night - Our good Day done -
I guard My Master’s Head -
’Tis better than the Eider Duck’s
Deep Pillow - to have shared -

To foe of His - I’m deadly foe -
None stir the second time -
On whom I lay a Yellow Eye -
Or an emphatic Thumb -

Though I than He - may longer live
He longer must - than I -
For I have but the power to kill,
Without - the power to die -",img_21.png
The Soul selects her own Society,Emily Dickenson,"The Soul selects her own Society -
Then - shuts the Door -
To her divine Majority -
Present no more -

Unmoved - she notes the Chariots - pausing -
At her low Gate -
Unmoved - an Emperor be kneeling
Upon her Mat -

I've known her - from an ample nation -
Choose One -
Then - close the Valves of her attention -
Like Stone ",img_22.png
I got so I could take his Name,Emily Dickenson,"I got so I could take his name—
Without—Tremendous gain—
That Stop-sensation—on my Soul—
And Thunder—in the Room—

I got so I could walk across
That Angle in the floor,
Where he turned so, and I turned—how—
And all our Sinew tore—

I got so I could stir the Box—
In which his letters grew
Without that forcing, in my breath—
As Staples—driven through—

Could dimly recollect a Grace—
I think, they call it “God”—
Renowned to ease Extremity—
When Formula, had failed—

And shape my Hands—
Petition’s way,
Tho’ ignorant of a word
That Ordination—utters—

My Business, with the Cloud,
If any Power behind it, be,
Not subject to Despair—
It care, in some remoter way,
For so minute affair
As Misery—
Itself, too vast, for interrupting—more—",img_23.png
It feels a shame to be alive,Emily Dickenson,"It feels a shame to be Alive—
When Men so brave—are dead—
One envies the Distinguished Dust—
Permitted—such a Head—

The Stone—that tells defending Whom
This Spartan put away
What little of Him we—possessed
In Pawn for Liberty—

The price is great—Sublimely paid—
Do we deserve—a Thing—
That lives—like Dollars—must be piled
Before we may obtain?

Are we that wait—sufficient worth—
That such Enormous Pearl
As life—dissolved be—for Us—
In Battle's—horrid Bowl?

It may be—a Renown to live—
I think the Man who die—
Those unsustained—Saviors—
Present Divinity—",img_24.png
I dwell in Possibility,Emily Dickenson,"I dwell in Possibility –
A fairer House than Prose –
More numerous of Windows –
Superior – for Doors –

Of Chambers as the Cedars –
Impregnable of eye –
And for an everlasting Roof
The Gambrels of the Sky –

Of Visitors – the fairest –
For Occupation – This –
The spreading wide my narrow Hands
To gather Paradise –",img_25.png
If you were coming in the Fall,Emily Dickenson,"If you were coming in the Fall,
I'd brush the Summer by
With half a smile, and half a spurn,
As Housewives do, a Fly.

If I could see you in a year,
I'd wind the months in balls—
And put them each in separate Drawers,
For fear the Ticking frightens you—

If only Centuries, delayed,
I'd count them on my Hand,
Subtracting, till my fingers dropped
Into Van Diemen's Land.

If certain, when this life was out—
That yours and mine should be—
I'd toss it yonder, like a Rind,
And take Eternity—

But now, uncertain of the length
Of this that gnaws at me—
I finish knowing never sure
To meet upon the Earth.",img_26.png
"I had been hungry, all the Years",Emily Dickenson,"I had been hungry, all the Years—
My Noon had Come—to dine—
I trembling drew the Table near—
And touched the Curious Wine—

’Twas this on Tables I had seen—
When turning, hungry, Home
I looked in Windows, for the Wealth
I could not hope—for Mine—

I did not know the ample Bread—
’Twas so unlike the Crumb
The Birds and I, had often shared
In Nature’s—Dining Room—

The Plenty hurt me—’twas so new—
Myself felt ill—and odd—
As Berry—of a Mountain Bush—
Transplanted—to a Road—

Nor was I hungry—so I found
That Hunger—was a way
Of Persons outside Windows—
The Entering—takes away—",img_27.png
The Day undressed - Herself,Emily Dickenson,"
The Day undressed—Herself—
Her Garter—was of Gold—
Her Petticoat—of Purple plain—
Her Dimities—as old

Exactly—as the World—
And yet the newest Star—
Enrolled upon the Hemisphere
Be wrinkled—much as Her—

Too near to God—to pray—
Too near to Heaven—to fear—
The Lady of the Occident
Retired without a care—

Her Candle so expire
The flickering be seen
On Ball of Mast in Bosporus—
And Dome—and Window Pane—",img_28.png
To make a prairie it takes a clover,Emily Dickenson,"To make a prairie it takes a clover and one bee,
One clover, and a bee.
And revery.
The revery alone will do,
If bees are few.",img_29.png
"He touched me, so I live to be",Emily Dickenson,"He touched me, so I live to know
That such a day, permitted so,
I groped upon his breast—
It was a boundless place to me
And silenced, as the awful sea
Puts minor streams to rest.

And now, I'm different from before,
As if I breathed superior air—
Or brushed a Royal Gown—
My feet, too, that had wandered so—
My Gypsy face—transfigured now—
To tenderer Renown—

Into this Port, if I might come,
Rebecca, to Jerusalem,
Would not so ravished turn—
Nor Persian, baffled at her shrine
Lift such a Crucifixial sign
To her imperial Sun.",img_30.png
A Bird came down the Walk,Emily Dickenson,"A Bird, came down the Walk - 
He did not know I saw -
He bit an Angle Worm in halves
And ate the fellow, raw, 
 
And then, he drank a Dew
From a convenient Grass -
And then hopped sidewise to the Wall
To let a Beetle pass -
 
He glanced with rapid eyes,
That hurried all abroad -
They looked like frightened Beads, I thought,
He stirred his Velvet Head. - 
 
Like one in danger, Cautious,
I offered him a Crumb,
And he unrolled his feathers, 
And rowed him softer Home -
 
Than Oars divide the Ocean,
Too silver for a seam,
Or Butterflies, off Banks of Noon,
Leap, plashless as they swim. ",img_31.png
Love's Philosophy,Percy Bysshe Shelley,"The fountains mingle with the river
   And the rivers with the ocean,
The winds of heaven mix for ever
   With a sweet emotion;
Nothing in the world is single;
   All things by a law divine
In one spirit meet and mingle.
   Why not I with thine?—

See the mountains kiss high heaven
   And the waves clasp one another;
No sister-flower would be forgiven
   If it disdained its brother;
And the sunlight clasps the earth
   And the moonbeams kiss the sea:
What is all this sweet work worth
   If thou kiss not me?",img_32.png
The Indian Serenade,Percy Bysshe Shelley,"I arise from dreams of thee
In the first sweet sleep of night,
When the winds are breathing low,
And the stars are shining bright:
I arise from dreams of thee,
And a spirit in my feet
Hath led me—who knows how?
To thy chamber window, Sweet!

The wandering airs they faint
On the dark, the silent stream—
The Champak odours fail
Like sweet thoughts in a dream;
The Nightingale's complaint,
It dies upon her heart;—
As I must on thine,
Oh, belovèd as thou art!

Oh lift me from the grass!
I die! I faint! I fail!
Let thy love in kisses rain
On my lips and eyelids pale.
My cheek is cold and white, alas!
My heart beats loud and fast;—
Oh! press it to thine own again,
Where it will break at last.",img_33.png
When the lamp is shattered,Percy Bysshe Shelley,"When the lamp is shattered
The light in the dust lies dead—
When the cloud is scattered
The rainbow's glory is shed.
When the lute is broken,
Sweet tones are remembered not;
When the lips have spoken,
Loved accents are soon forgot.",img_34.png
"Music, when soft voices die",Percy Bysshe Shelley,"Music, when soft voices die,
Vibrates in the memory—
Odours, when sweet violets sicken,
Live within the sense they quicken.

Rose leaves, when the rose is dead,
Are heaped for the belovèd's bed;
And so thy thoughts, when thou art gone,
Love itself shall slumber on.",img_35.png
To ---,Percy Bysshe Shelley,"One word is too often profaned
For me to profane it,
One feeling too falsely disdained
For thee to disdain it;
One hope is too like despair
For prudence to smother,
And pity from thee more dear
Than that from another.

I can give not what men call love,
But wilt thou accept not
The worship the heart lifts above
And the Heavens reject not,—
The desire of the moth for the star,
Of the night for the morrow,
The devotion to something afar
From the sphere of our sorrow?",img_36.png
"To Constantia, Singing",Percy Bysshe Shelley,"Thus to be lost and thus to sink and die,
Perchance were death indeed!—Constantia, turn!
In thy dark eyes a power like light doth lie,
Even though the sounds which were thy voice, which burn
Between thy lips, are laid to sleep;
Within thy breath, and on thy hair, like odour, it is yet,
And from thy touch like fire doth leap.
Even while I write, my burning cheeks are wet.
Alas, that the torn heart can bleed, but not forget!",img_37.png
from Epipsychidion,Percy Bysshe Shelley,"Emily,
A ship is floating in the harbour now,
A wind is hovering o'er the mountain's brow;
There is a path on the sea's azure floor,
No keel has ever plough'd that path before;
The halcyons brood around the foamless isles;
The treacherous Ocean has forsworn its wiles;
The merry mariners are bold and free:
Say, my heart's sister, wilt thou sail with me?
Our bark is as an albatross, whose nest
Is a far Eden of the purple East;
And we between her wings will sit, while Night,
And Day, and Storm, and Calm, pursue their flight,
Our ministers, along the boundless Sea,
Treading each other's heels, unheededly.
It is an isle under Ionian skies,
Beautiful as a wreck of Paradise,
And, for the harbours are not safe and good,
This land would have remain'd a solitude
But for some pastoral people native there,
Who from the Elysian, clear, and golden air
Draw the last spirit of the age of gold,
Simple and spirited; innocent and bold.
The blue Aegean girds this chosen home,
With ever-changing sound and light and foam,
Kissing the sifted sands, and caverns hoar;
And all the winds wandering along the shore
Undulate with the undulating tide:
There are thick woods where sylvan forms abide;
And many a fountain, rivulet and pond,
As clear as elemental diamond,
Or serene morning air; and far beyond,
The mossy tracks made by the goats and deer
(Which the rough shepherd treads but once a year)
Pierce into glades, caverns and bowers, and halls
Built round with ivy, which the waterfalls
Illumining, with sound that never fails
Accompany the noonday nightingales;
And all the place is peopled with sweet airs;
The light clear element which the isle wears
Is heavy with the scent of lemon-flowers,
Which floats like mist laden with unseen showers,
And falls upon the eyelids like faint sleep;
And from the moss violets and jonquils peep
And dart their arrowy odour through the brain
Till you might faint with that delicious pain.
And every motion, odour, beam and tone,
With that deep music is in unison:
Which is a soul within the soul—they seem
Like echoes of an antenatal dream.
It is an isle 'twixt Heaven, Air, Earth and Sea,
Cradled and hung in clear tranquillity;
Bright as that wandering Eden Lucifer,
Wash'd by the soft blue Oceans of young air.
It is a favour'd place. Famine or Blight,
Pestilence, War and Earthquake, never light
Upon its mountain-peaks; blind vultures, they
Sail onward far upon their fatal way:
The wingèd storms, chanting their thunder-psalm
To other lands, leave azure chasms of calm
Over this isle, or weep themselves in dew,
From which its fields and woods ever renew
Their green and golden immortality.
And from the sea there rise, and from the sky
There fall, clear exhalations, soft and bright,
Veil after veil, each hiding some delight,
Which Sun or Moon or zephyr draw aside,
Till the isle's beauty, like a naked bride
Glowing at once with love and loveliness,
Blushes and trembles at its own excess:
Yet, like a buried lamp, a Soul no less
Burns in the heart of this delicious isle,
An atom of th' Eternal, whose own smile
Unfolds itself, and may be felt not seen
O'er the gray rocks, blue waves and forests green,
Filling their bare and void interstices.
But the chief marvel of the wilderness
Is a lone dwelling, built by whom or how
None of the rustic island-people know:
'Tis not a tower of strength, though with its height
It overtops the woods; but, for delight,
Some wise and tender Ocean-King, ere crime
Had been invented, in the world's young prime,
Rear'd it, a wonder of that simple time,
An envy of the isles, a pleasure-house
Made sacred to his sister and his spouse.
It scarce seems now a wreck of human art,
But, as it were, Titanic; in the heart
Of Earth having assum'd its form, then grown
Out of the mountains, from the living stone,
Lifting itself in caverns light and high:
For all the antique and learned imagery
Has been eras'd, and in the place of it
The ivy and the wild-vine interknit
The volumes of their many-twining stems;
Parasite flowers illume with dewy gems
The lampless halls, and when they fade, the sky
Peeps through their winter-woof of tracery
With moonlight patches, or star atoms keen,
Or fragments of the day's intense serene;
Working mosaic on their Parian floors.
And, day and night, aloof, from the high towers
And terraces, the Earth and Ocean seem
To sleep in one another's arms, and dream
Of waves, flowers, clouds, woods, rocks, and all that we
Read in their smiles, and call reality.",img_38.png
The Indian Serenade,Percy Bysshe Shelley,"I arise from dreams of thee
In the first sweet sleep of night,
When the winds are breathing low,
And the stars are shining bright:
I arise from dreams of thee,
And a spirit in my feet
Hath led me—who knows how?
To thy chamber window, Sweet!

The wandering airs they faint
On the dark, the silent stream—
The Champak odours fail
Like sweet thoughts in a dream;
The Nightingale's complaint,
It dies upon her heart;—
As I must on thine,
Oh, belovèd as thou art!

Oh lift me from the grass!
I die! I faint! I fail!
Let thy love in kisses rain
On my lips and eyelids pale.
My cheek is cold and white, alas!
My heart beats loud and fast;—
Oh! press it to thine own again,
Where it will break at last.",img_39.png
A Lament,Percy Bysshe Shelley,"O world! O life! O time!
On whose last steps I climb,
Trembling at that where I had stood before;
When will return the glory of your prime?
No more—Oh, never more!

Out of the day and night
A joy has taken flight;
Fresh spring, and summer, and winter hoar,
Move my faint heart with grief, but with delight
No more—Oh, never more!",img_40.png
"Alastor; or, The Spirit of Solitude",Percy Bysshe Shelley,"Earth, ocean, air, belovèd brotherhood!
If our great Mother has imbued my soul
With aught of natural piety to feel
Your love, and recompense the boon with mine;
If dewy morn, and odorous noon, and even,
With sunset and its gorgeous ministers,
And solemn midnight's tingling silentness;
If autumn's hollow sighs in the sere wood,
And winter robing with pure snow and crowns
Of starry ice the grey grass and bare boughs;
If spring's voluptuous pantings when she breathes
Her first sweet kisses, have been dear to me;
If no bright bird, insect, or gentle beast
I consciously have injured, but still loved
And cherished these my kindred; then forgive
This boast, belovèd brethren, and withdraw
No portion of your wonted favour now!",img_41.png
"Stanzas Written in Dejection, Near Naples",Percy Bysshe Shelley,"The sun is warm, the sky is clear,
         The waves are dancing fast and bright,
      Blue isles and snowy mountains wear
      The purple noon's transparent might,
         The breath of the moist earth is light,
      Around its unexpanded buds;
         Like many a voice of one delight,
      The winds, the birds, the ocean floods,
The City's voice itself, is soft like Solitude's.

         I see the Deep's untrampled floor
         With green and purple seaweeds strown;
      I see the waves upon the shore,
      Like light dissolved in star-showers, thrown:
         I sit upon the sands alone,—
      The lightning of the noontide ocean
         Is flashing round me, and a tone
      Arises from its measured motion,
How sweet! did any heart now share in my emotion.

         Alas! I have nor hope nor health,
         Nor peace within nor calm around,
      Nor that content surpassing wealth
      The sage in meditation found,
         And walked with inward glory crowned—
      Nor fame, nor power, nor love, nor leisure.
         Others I see whom these surround—
      Smiling they live, and call life pleasure;
To me that cup has been dealt in another measure.

         Yet now despair itself is mild,
         Even as the winds and waters are;
      I could lie down like a tired child,
      And weep away the life of care
         Which I have borne and yet must bear,
      Till death like sleep might steal on me,
         And I might feel in the warm air
      My cheek grow cold, and hear the sea
Breathe o'er my dying brain its last monotony.

         Some might lament that I were cold,
         As I, when this sweet day is gone,
      Which my lost heart, too soon grown old,
      Insults with this untimely moan;
         They might lament—for I am one
      Whom men love not,—and yet regret,
         Unlike this day, which, when the sun
      Shall on its stainless glory set,
Will linger, though enjoyed, like joy in memory yet.",img_42.png
O there are spirits of the air,Percy Bysshe Shelley,"O! there are spirits of the air,
 And genii of the evening breeze,
And gentle ghosts, with eyes as fair
 As star-beams among twilight trees:—
Such lovely ministers to meet
Oft hast thou turned from men thy lonely feet.

With mountain winds, and babbling springs,
 And moonlight seas, that are the voice
Of these inexplicable things,
Thou didst hold commune, and rejoice
When they did answer thee; but they
Cast, like a worthless boon, thy love away.

And thou hast sought in starry eyes
 Beams that were never meant for thine,
Another's wealth:—tame sacrifice
 To a fond faith! still dost thou pine?
Still dost thou hope that greeting hands,
Voice, looks, or lips, may answer thy demands?

Ah! wherefore didst thou build thine hope
 On the false earth's inconstancy?
Did thine own mind afford no scope
 Of love, or moving thoughts to thee?
That natural scenes or human smiles
Could steal the power to wind thee in their wiles?

Yes, all the faithless smiles are fled
 Whose falsehood left thee broken-hearted;
The glory of the moon is dead;
 Night's ghosts and dreams have now departed;
Thine own soul still is true to thee,
But changed to a foul fiend through misery.

This fiend, whose ghastly presence ever
 Beside thee like thy shadow hangs,
Dream not to chase;—the mad endeavour
 Would scourge thee to severer pangs.
Be as thou art. Thy settled fate,
Dark as it is, all change would aggravate.
",img_43.png
"To Jane (""The keen stars were twinkling"")",Percy Bysshe Shelley,"The keen stars were twinkling,
And the fair moon was rising among them,
Dear Jane!
The guitar was tinkling,
But the notes were not sweet till you sung them
Again.

As the moon's soft splendour
O'er the faint cold starlight of Heaven
Is thrown,
So your voice most tender
To the strings without soul had then given
Its own.

The stars will awaken,
Though the moon sleep a full hour later,
To-night;
No leaf will be shaken
Whilst the dews of your melody scatter
Delight.

Though the sound overpowers,
Sing again, with your dear voice revealing
A tone
Of some world far from ours,
Where music and moonlight and feeling
Are one.",img_44.png
When the Lamp Is Shattered,Percy Bysshe Shelley,"  When the lamp is shattered
The light in the dust lies dead—
  When the cloud is scattered
The rainbow's glory is shed.
  When the lute is broken,
Sweet tones are remembered not;
  When the lips have spoken,
Loved accents are soon forgot.

  As music and splendor
Survive not the lamp and the lute,
  The heart's echoes render
No song when the spirit is mute:—
  No song but sad dirges,
Like the wind through a ruined cell,
  Or the mournful surges
That ring the dead seaman's knell.

  When hearts have once mingled
Love first leaves the well-built nest;
  The weak one is singled
To endure what it once possessed.
  O Love! who bewailest
The frailty of all things here,
  Why choose you the frailest
For your cradle, your home, and your bier?

  Its passions will rock thee
As the storms rock the ravens on high;
  Bright reason will mock thee,
Like the sun from a wintry sky.
  From thy nest every rafter
Will rot, and thine eagle home
  Leave thee naked to laughter,
When leaves fall and cold winds come.",img_45.png
We Are Seven,William Wordsworth,"———A simple Child,
That lightly draws its breath,
And feels its life in every limb,
What should it know of death?

I met a little cottage Girl:
She was eight years old, she said;
Her hair was thick with many a curl
That clustered round her head.

She had a rustic, woodland air,
And she was wildly clad:
Her eyes were fair, and very fair;
—Her beauty made me glad.

“Sisters and brothers, little Maid,
How many may you be?”
“How many? Seven in all,” she said,
And wondering looked at me.

“And where are they? I pray you tell.”
She answered, “Seven are we;
And two of us at Conway dwell,
And two are gone to sea.

“Two of us in the church-yard lie,
My sister and my brother;
And, in the church-yard cottage, I
Dwell near them with my mother.”

“You say that two at Conway dwell,
And two are gone to sea,
Yet ye are seven! I pray you tell,
Sweet Maid, how this may be.”

Then did the little Maid reply,
“Seven boys and girls are we;
Two of us in the church-yard lie,
Beneath the church-yard tree.”

“You run about, my little Maid,
Your limbs they are alive;
If two are in the church-yard laid,
Then ye are only five.”

“Their graves are green, they may be seen,”
The little Maid replied,
“Twelve steps or more from my mother’s door,
And they are side by side.

“My stockings there I often knit,
My kerchief there I hem;
And there upon the ground I sit,
And sing a song to them.

“And often after sun-set, Sir,
When it is light and fair,
I take my little porringer,
And eat my supper there.

“The first that died was sister Jane;
In bed she moaning lay,
Till God released her of her pain;
And then she went away.

“So in the church-yard she was laid;
And, when the grass was dry,
Together round her grave we played,
My brother John and I.

“And when the ground was white with snow,
And I could run and slide,
My brother John was forced to go,
And he lies by her side.”

“How many are you, then,” said I,
“If they two are in heaven?”
Quick was the little Maid’s reply,
“O Master! we are seven.”

“But they are dead; those two are dead!
Their spirits are in heaven!”
’Twas throwing words away; for still
The little Maid would have her will,
And said, “Nay, we are seven!”",img_46.png
